denominazione_regione,data,ML,Low_90,High_90,Low_50,High_50
Abruzzo,2020-03-14 17:00:00,3.0,0.86,6.84,1.86,4.2700000000000005
Abruzzo,2020-03-15 17:00:00,2.4,1.01,3.89,1.74,2.95
Abruzzo,2020-03-16 17:00:00,2.66,1.43,3.81,2.08,3.0700000000000003
Abruzzo,2020-03-17 17:00:00,2.68,1.6500000000000001,3.62,2.24,3.0500000000000003
Abruzzo,2020-03-18 17:00:00,2.57,1.68,3.37,2.14,2.84
Abruzzo,2020-03-19 17:00:00,2.32,1.51,3.02,1.95,2.57
Abruzzo,2020-03-20 17:00:00,2.06,1.33,2.72,1.75,2.32
Abruzzo,2020-03-21 17:00:00,1.74,1.03,2.36,1.4000000000000001,1.95
Abruzzo,2020-03-22 17:00:00,1.56,0.87,2.17,1.29,1.82
Abruzzo,2020-03-23 17:00:00,1.48,0.79,2.07,1.1400000000000001,1.67
Abruzzo,2020-03-24 17:00:00,1.5,0.8300000000000001,2.09,1.18,1.7
Abruzzo,2020-03-25 17:00:00,1.58,0.9500000000000001,2.18,1.27,1.78
Abruzzo,2020-03-26 17:00:00,1.6600000000000001,1.02,2.22,1.41,1.9000000000000001
Abruzzo,2020-03-27 17:00:00,1.57,0.9400000000000001,2.11,1.28,1.76
Abruzzo,2020-03-28 17:00:00,1.42,0.8300000000000001,1.97,1.1400000000000001,1.61
Abruzzo,2020-03-29 17:00:00,1.12,0.52,1.6600000000000001,0.84,1.31
Abruzzo,2020-03-30 17:00:00,0.85,0.26,1.4000000000000001,0.54,1.02
Abruzzo,2020-03-31 17:00:00,0.67,0.06,1.17,0.39,0.87
Abruzzo,2020-04-01 17:00:00,0.52,0.0,1.04,0.28,0.75
Abruzzo,2020-04-02 17:00:00,0.49,0.0,1.05,0.19,0.67
Abruzzo,2020-04-03 17:00:00,0.6,0.02,1.16,0.3,0.81
Abruzzo,2020-04-04 17:00:00,0.6900000000000001,0.06,1.27,0.41000000000000003,0.9400000000000001
Abruzzo,2020-04-05 17:00:00,0.75,0.07,1.32,0.39,0.9400000000000001
Abruzzo,2020-04-06 17:00:00,0.79,0.13,1.4000000000000001,0.47000000000000003,1.02
Abruzzo,2020-04-07 17:00:00,0.88,0.17,1.48,0.53,1.09
Abruzzo,2020-04-08 17:00:00,1.07,0.36,1.7,0.71,1.27
Abruzzo,2020-04-09 17:00:00,1.12,0.43,1.75,0.77,1.32
Abruzzo,2020-04-10 17:00:00,1.16,0.47000000000000003,1.77,0.8200000000000001,1.36
Abruzzo,2020-04-11 17:00:00,1.01,0.34,1.62,0.7000000000000001,1.23
Abruzzo,2020-04-12 17:00:00,0.8300000000000001,0.16,1.41,0.52,1.05
Abruzzo,2020-04-13 17:00:00,0.6900000000000001,0.04,1.24,0.36,0.89
Abruzzo,2020-04-14 17:00:00,0.66,0.05,1.24,0.38,0.91
Abruzzo,2020-04-15 17:00:00,0.74,0.05,1.31,0.43,0.98
Abruzzo,2020-04-16 17:00:00,0.89,0.17,1.5,0.54,1.11
Abruzzo,2020-04-17 17:00:00,1.01,0.28,1.6400000000000001,0.66,1.23
Abruzzo,2020-04-18 17:00:00,1.05,0.31,1.67,0.74,1.3
Abruzzo,2020-04-19 17:00:00,1.06,0.32,1.67,0.71,1.27
Abruzzo,2020-04-20 17:00:00,1.02,0.32,1.6500000000000001,0.71,1.26
Abruzzo,2020-04-21 17:00:00,0.9,0.18,1.49,0.58,1.1300000000000001
Abruzzo,2020-04-22 17:00:00,0.8200000000000001,0.1,1.3900000000000001,0.51,1.06
Abruzzo,2020-04-23 17:00:00,0.71,0.05,1.29,0.38,0.93
Abruzzo,2020-04-24 17:00:00,0.51,0.0,1.12,0.18,0.7000000000000001
Abruzzo,2020-04-25 17:00:00,0.4,0.0,1.07,0.13,0.62
Basilicata,2020-03-19 17:00:00,3.0,0.86,6.84,1.86,4.2700000000000005
Basilicata,2020-03-20 17:00:00,2.71,1.01,4.7700000000000005,1.83,3.42
Basilicata,2020-03-21 17:00:00,2.25,0.88,3.85,1.55,2.8000000000000003
Basilicata,2020-03-22 17:00:00,2.02,0.76,3.39,1.3900000000000001,2.49
Basilicata,2020-03-23 17:00:00,1.87,0.66,3.1,1.34,2.35
Basilicata,2020-03-24 17:00:00,1.83,0.63,2.97,1.26,2.23
Basilicata,2020-03-25 17:00:00,1.92,0.75,3.02,1.37,2.31
Basilicata,2020-03-26 17:00:00,1.9100000000000001,0.77,2.94,1.43,2.32
Basilicata,2020-03-27 17:00:00,1.8800000000000001,0.81,2.88,1.42,2.27
Basilicata,2020-03-28 17:00:00,1.74,0.6900000000000001,2.68,1.26,2.08
Basilicata,2020-03-29 17:00:00,1.58,0.5700000000000001,2.5,1.09,1.8900000000000001
Basilicata,2020-03-30 17:00:00,1.36,0.34,2.23,0.93,1.71
Basilicata,2020-03-31 17:00:00,1.23,0.22,2.07,0.78,1.56
Basilicata,2020-04-01 17:00:00,1.1,0.11,1.9100000000000001,0.67,1.45
Basilicata,2020-04-02 17:00:00,1.04,0.08,1.85,0.55,1.34
Basilicata,2020-04-03 17:00:00,0.97,0.04,1.78,0.49,1.28
Basilicata,2020-04-04 17:00:00,0.96,0.04,1.79,0.46,1.26
Basilicata,2020-04-05 17:00:00,0.88,0.0,1.72,0.44,1.23
Basilicata,2020-04-06 17:00:00,0.8,0.0,1.68,0.35000000000000003,1.1300000000000001
Basilicata,2020-04-07 17:00:00,0.7000000000000001,0.0,1.6500000000000001,0.22,0.99
Basilicata,2020-04-08 17:00:00,0.58,0.0,1.61,0.16,0.91
Basilicata,2020-04-09 17:00:00,0.48,0.0,1.58,0.11,0.84
Basilicata,2020-04-10 17:00:00,0.49,0.0,1.61,0.11,0.85
Basilicata,2020-04-11 17:00:00,0.43,0.0,1.58,0.12,0.8300000000000001
Basilicata,2020-04-12 17:00:00,0.39,0.0,1.55,0.07,0.76
